task,difficulty,negativeControl,experiment,condition,repetition,acceptance,editRounds,editRejections,modelMs,inputTokens,outputTokens,trialAttempt,servingProviders,modelFailure
"csv-record","medium","false","editing","native","3","passed","1","0","113437","375","12099","1","Parasail","false"
"csv-record","medium","false","review","skill","3","passed","1","0","89888","2016","8149","1","Morph; Parasail","false"
"csv-record","medium","false","editing","anchored","3","passed","1","0","74374","410","13264","1","Parasail","false"
"config-precedence","easy","true","review","skill","3","passed","1","0","16193","1495","840","1","Morph; Parasail","false"
"config-precedence","easy","true","editing","anchored","3","failed","1","0","126692","461","16384","1","Parasail","true"
"config-precedence","easy","true","review","baseline","3","passed","1","0","16153","784","2356","1","Parasail","false"
"config-precedence","easy","true","editing","native","3","passed","1","0","2561","399","351","1","Parasail","false"
"ttl-cache","medium","true","review","baseline","3","passed","1","0","36291","922","3750","1","Parasail","false"
"ttl-cache","medium","true","editing","native","3","passed","1","0","17652","468","2848","1","Parasail","false"
"ttl-cache","medium","true","review","skill","3","passed","1","0","64482","2516","2575","1","Morph; Parasail","false"
"ttl-cache","medium","true","editing","anchored","3","passed","1","0","5692","621","713","1","Parasail","false"
"inflight-invalidation","hard","false","review","skill","3","passed","1","0","82495","2917","6778","1","Morph; Parasail","false"
"inflight-invalidation","hard","false","editing","anchored","3","passed","1","0","75410","1011","7783","3","Parasail","false"
"inflight-invalidation","hard","false","review","baseline","3","passed","1","0","220587","1671","20452","3","Parasail","false"
"inflight-invalidation","hard","false","editing","native","3","passed","1","0","147373","723","6264","1","Parasail","false"
"once-reentrancy","medium","false","review","baseline","3","passed","1","0","112855","1447","14156","2","Parasail","false"
"once-reentrancy","medium","false","editing","native","3","passed","1","0","104554","551","10862","1","Parasail","false"
"once-reentrancy","medium","false","review","skill","3","passed","1","0","131993","2360","16219","2","Morph; Parasail","false"
"once-reentrancy","medium","false","editing","anchored","3","passed","1","0","60611","762","9593","1","Parasail","false"
"bounded-map","hard","false","review","skill","3","passed","1","0","115754","2940","6441","1","Morph; Parasail","false"
"bounded-map","hard","false","editing","anchored","3","passed","1","0","53526","532","7797","1","Parasail","false"
"bounded-map","hard","false","review","baseline","3","failed","1","0","185953","1274","27361","1","Parasail","true"
"bounded-map","hard","false","editing","native","3","passed","1","0","85037","438","9622","1","Parasail","false"
"abort-retry","hard","false","review","baseline","3","failed","1","0","138991","1448","21580","1","Parasail","true"
"abort-retry","hard","false","editing","native","3","passed","1","0","52952","457","7800","1","Parasail","false"
"abort-retry","hard","false","review","skill","3","passed","1","0","78341","2129","6468","1","Morph; Parasail","false"
"abort-retry","hard","false","editing","anchored","3","passed","1","0","69318","570","10294","1","Parasail","false"
"transaction-rollback","hard","false","review","skill","3","passed","1","0","95997","3076","7999","1","Morph; Parasail","false"
"transaction-rollback","hard","false","editing","anchored","3","passed","1","0","46756","1008","7000","1","Parasail","false"
"transaction-rollback","hard","false","review","baseline","3","failed","1","0","208697","1805","27189","1","Parasail","true"
"transaction-rollback","hard","false","editing","native","3","passed","1","0","39223","718","5009","1","Parasail","false"
"schema-migration","medium","false","review","baseline","3","passed","1","0","80475","1497","10740","1","Parasail","false"
"schema-migration","medium","false","editing","native","3","passed","1","0","38918","414","5780","1","Parasail","false"
"schema-migration","medium","false","review","skill","3","passed","1","0","121304","2588","9637","1","Morph; Parasail","false"
"schema-migration","medium","false","editing","anchored","3","passed","1","0","46978","465","7424","1","Parasail","false"
"canonical-key","medium","false","review","skill","3","failed","1","0","151948","2475","17476","1","Morph; Parasail","true"
"canonical-key","medium","false","editing","anchored","3","passed","1","0","49534","506","6676","1","Parasail","false"
"canonical-key","medium","false","review","baseline","3","passed","1","0","198981","1250","19807","1","Parasail","false"
"canonical-key","medium","false","editing","native","3","passed","1","0","66207","421","10292","1","Parasail","false"
"pagination-merge","medium","false","review","baseline","3","failed","1","0","149213","1400","21071","1","Parasail","true"
"pagination-merge","medium","false","editing","native","3","passed","1","0","43466","553","6012","1","Parasail","false"
"pagination-merge","medium","false","review","skill","3","failed","1","0","69018","2613","7123","1","Morph; Parasail","false"
"pagination-merge","medium","false","editing","anchored","3","failed","1","0","32979","713","5103","1","Parasail","false"
"archive-boundary","medium","false","review","skill","3","passed","1","0","144184","2366","16386","1","Morph; Parasail","false"
"archive-boundary","medium","false","editing","anchored","3","passed","1","0","41057","469","7391","1","Parasail","false"
"archive-boundary","medium","false","review","baseline","3","passed","1","0","107737","1297","16439","1","Parasail","false"
"archive-boundary","medium","false","editing","native","3","passed","1","0","60225","417","9687","1","Parasail","false"
"stream-lines","hard","false","review","baseline","3","passed","1","0","149858","1392","21432","1","Parasail","false"
"stream-lines","hard","false","editing","native","3","passed","1","0","71817","498","9284","1","Parasail","false"
"stream-lines","hard","false","review","skill","3","passed","1","0","132844","2621","14092","1","Morph; Parasail","false"
"stream-lines","hard","false","editing","anchored","3","passed","1","0","72683","628","10335","1","Parasail","false"
"tenant-cache","hard","false","review","skill","3","passed","1","0","149495","3082","13028","1","Morph; Parasail","false"
"tenant-cache","hard","false","editing","anchored","3","passed","1","0","74587","902","10591","1","Parasail","false"
"tenant-cache","hard","false","review","baseline","3","failed","0","0","104583","676","16384","1","Parasail","true"
"tenant-cache","hard","false","editing","native","3","passed","1","0","84568","690","12753","1","Parasail","false"
"public-hooks","medium","true","review","baseline","3","passed","1","0","24571","920","3297","1","Parasail","false"
"public-hooks","medium","true","editing","native","3","passed","1","0","10531","467","1675","1","Parasail","false"
"public-hooks","medium","true","review","skill","3","passed","1","0","20894","1631","2470","1","Morph; Parasail","false"
"public-hooks","medium","true","editing","anchored","3","passed","1","0","8058","610","907","1","Parasail","false"
"lazy-iterator","hard","false","review","skill","3","passed","1","0","164935","1693","16297","1","Morph; Parasail","false"
"lazy-iterator","hard","false","editing","anchored","3","failed","1","0","83699","659","11323","1","Parasail","false"
"lazy-iterator","hard","false","review","baseline","3","passed","1","0","222808","1137","20246","1","Parasail","false"
"lazy-iterator","hard","false","editing","native","3","passed","1","0","110444","498","14830","1","Parasail","false"
"browser-search-race","hard","false","review","baseline","3","passed","1","0","54156","1792","6728","1","Parasail","false"
"browser-search-race","hard","false","editing","native","3","passed","1","0","40123","681","5677","1","Parasail","false"
"browser-search-race","hard","false","review","skill","3","passed","1","0","65570","2826","4142","1","Morph; Parasail","false"
"browser-search-race","hard","false","editing","anchored","3","passed","1","0","33871","967","4323","1","Parasail","false"
"browser-storage-failure","medium","false","review","skill","3","passed","1","0","59405","2626","3064","1","Morph; Parasail","false"
"browser-storage-failure","medium","false","editing","anchored","3","passed","1","0","35224","958","4328","1","Parasail","false"
"browser-storage-failure","medium","false","review","baseline","3","passed","1","0","47528","1615","5814","1","Parasail","false"
"browser-storage-failure","medium","false","editing","native","3","passed","1","0","29819","682","3668","1","Parasail","false"
"repo-output-streams","hard","false","review","baseline","3","failed","0","0","142293","5856","16384","1","Parasail","true"
"repo-output-streams","hard","false","editing","native","3","passed","1","0","75277","5870","10953","1","Parasail","false"
"repo-output-streams","hard","false","review","skill","3","failed","1","0","162704","13310","17407","1","Morph; Parasail","true"
"repo-output-streams","hard","false","editing","anchored","3","passed","1","0","81906","12171","11604","1","Parasail","false"
"repo-slot-admission","hard","false","review","skill","3","passed","1","0","42927","13001","1381","1","Morph; Parasail","false"
"repo-slot-admission","hard","false","editing","anchored","3","passed","1","0","25627","12169","3262","1","Parasail","false"
"repo-slot-admission","hard","false","review","baseline","3","passed","1","0","44805","11906","4914","1","Parasail","false"
"repo-slot-admission","hard","false","editing","native","3","passed","1","0","30634","5867","4010","1","Parasail","false"
"repo-receipt-freshness","hard","false","review","baseline","3","passed","1","0","91785","18798","9568","1","Parasail","false"
"repo-receipt-freshness","hard","false","editing","native","3","passed","1","0","18443","9306","1812","1","Parasail","false"
"repo-receipt-freshness","hard","false","review","skill","3","passed","1","0","101005","19947","5262","1","Morph; Parasail","false"
"repo-receipt-freshness","hard","false","editing","anchored","3","passed","1","0","19630","19521","2248","1","Parasail","false"
"repo-command-redaction","hard","false","review","skill","3","passed","1","0","101440","4642","6287","1","Morph; Parasail","false"
"repo-command-redaction","hard","false","editing","anchored","3","passed","1","0","64703","2600","9026","1","Parasail","false"
"repo-command-redaction","hard","false","review","baseline","3","failed","0","0","175364","1428","16384","2","Parasail","true"
"repo-command-redaction","hard","false","editing","native","3","passed","1","0","71414","1442","10280","1","Parasail","false"
